# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
 163 6.5320588204e-10 1.3553815285e-13 -6.1147187090e-12 0.0000000000e+00 2.8060891914e-12 5.2173497780e-13 -2.5193550801e-15
 164 6.5736988604e-10 1.3424382458e-13 -6.0776490067e-12 0.0000000000e+00 2.7567219433e-12 5.1471484828e-13 -2.4993262860e-15
 165 6.6149283382e-10 1.3291278362e-13 -6.0366481665e-12 0.0000000000e+00 2.7084697374e-12 5.0788638342e-13 -2.4808070993e-15
 166 6.6556835326e-10 1.3154647008e-13 -5.9915108282e-12 0.0000000000e+00 2.6612910476e-12 5.0120318391e-13 -2.4617476010e-15
 167 6.6959084709e-10 1.3014656267e-13 -5.9420797116e-12 0.0000000000e+00 2.6151455051e-12 4.9462313089e-13 -2.4402716155e-15
 168 6.7355872722e-10 1.2871550855e-13 -5.8884145772e-12 0.0000000000e+00 2.5700128117e-12 4.8813002486e-13 -2.4155276324e-15
 169 6.7747144986e-10 1.2725604056e-13 -5.8306375842e-12 0.0000000000e+00 2.5258752678e-12 4.8171371774e-13 -2.3869078883e-15
 170 6.8132849471e-10 1.2577101198e-13 -5.7688801289e-12 0.0000000000e+00 2.4827117121e-12 4.7536326117e-13 -2.3537791835e-15
 171 6.8512936532e-10 1.2426339814e-13 -5.7032829912e-12 0.0000000000e+00 2.4404974534e-12 4.6906689257e-13 -2.3154825215e-15
 172 6.8887358950e-10 1.2273629799e-13 -5.6339964815e-12 0.0000000000e+00 2.3992042028e-12 4.6281202115e-13 -2.2713327492e-15
 173 6.9256071970e-10 1.2119293567e-13 -5.5611805873e-12 0.0000000000e+00 2.3588000067e-12 4.5658521398e-13 -2.2206181964e-15
